presynaptic cell,postsynaptic cell,weight
OLLL,RMEL,0.002843
OLLL,RMEV,-0.014735
OLLL,SMDDL,-0.005185
OLLL,SMDDR,-0.005880
OLLL,SMDVL,0.003491
OLLL,SMDVR,0.013412
OLLL,URXL,-0.021696
OLLL,URYDL,0.110136
OLLL,URYVL,0.046109
OLLR,AVEL,-0.003754
OLLR,CEPDR,-0.000475
OLLR,CEPVR,-0.032246
OLLR,IL1DR,0.011886
OLLR,IL1VR,0.022235
OLLR,OLLL,0.044817
OLLR,OLQDR,0.010075
OLLR,OLQVR,0.033050
OLLR,RIBR,0.046974
OLLR,RIGR,-0.027998
OLLR,RMDDR,-0.005747
OLLR,RMDL,-0.028263
OLLR,RMDR,0.022785
OLLR,RMDVR,-0.002746
OLLR,RMEL,0.015515
OLLR,RMER,0.030074
OLLR,SMDDL,0.005139
OLLR,SMDDR,0.010458
OLLR,SMDVL,-0.008083
OLLR,SMDVR,-0.014737
OLLR,URYVR,0.085307
OLQDL,AVER,-0.002898
OLQDL,CEPDL,-0.000640
OLQDL,IL1DL,0.010294
OLQDL,IL2DL,0.054362
OLQDL,IL2L,-0.026092
OLQDL,OLLL,0.035171
OLQDL,RIBL,-0.018644
OLQDL,RICL,-0.038019
OLQDL,RICR,-0.027320
OLQDL,RIGL,0.021267
OLQDL,RIH,0.001292
OLQDL,RMDDL,-0.014613
OLQDL,RMDDR,0.005910
OLQDL,RMDVL,-0.006388
OLQDL,RMEV,-0.000228
OLQDL,SMBDR,-0.012016
OLQDL,URBL,0.193130
OLQDR,AVEL,-0.011017
OLQDR,CEPDR,0.007861
OLQDR,IL1DR,0.059261
OLQDR,OLLR,0.000723
OLQDR,RIBR,0.016547
OLQDR,RICL,-0.006309
OLQDR,RICR,0.014119
OLQDR,RIGR,0.016100
OLQDR,RIH,0.003585
OLQDR,RMDDL,-0.003806
OLQDR,RMDVR,0.003989
OLQDR,RMER,-0.018656
OLQDR,SMBDL,0.005436
OLQDR,URBR,0.018588
OLQVL,ADAL,0.002401
OLQVL,ADLL,0.002782
OLQVL,AVER,-0.004599
OLQVL,CEPVL,-0.008772
OLQVL,IL1VL,0.009947
OLQVL,IL2L,0.002099
OLQVL,IL2VL,0.122895
OLQVL,RIBL,0.003698
OLQVL,RICL,0.038052
OLQVL,RICR,-0.002132
OLQVL,RIGL,0.002466
OLQVL,RIH,0.009226
OLQVL,RIPL,0.010006
OLQVL,RMDDL,0.002139
OLQVL,RMDVR,0.003264
OLQVL,RMED,0.010689
OLQVL,RMEL,0.050073
OLQVL,RMGL,0.000547
OLQVL,URBL,-0.000792
OLQVR,AVEL,0.014766
OLQVR,CEPVR,-0.063603
OLQVR,IL1VR,0.004942
OLQVR,IL2VR,-0.010472
OLQVR,OLLR,0.027929
OLQVR,RIBR,-0.016306
OLQVR,RICL,-0.046123
OLQVR,RICR,-0.002828
OLQVR,RIGR,0.005744
OLQVR,RIH,0.013406
OLQVR,RMDDR,-0.014352
OLQVR,RMDVL,0.017442
OLQVR,RMED,-0.015058
OLQVR,RMER,0.012518
OLQVR,URBR,0.063516
RIAL,BAGR,0.026526
RIAL,CEPDL,0.022519
RIAL,CEPVL,0.029320
RIAL,RIAR,0.044074
RIAL,RIML,-0.040100
RIAL,RIVL,-0.018716
RIAL,RIVR,0.009018
RIAL,RMDDL,0.012050
RIAL,RMDDR,0.003455
RIAL,RMDL,0.006836
RIAL,RMDR,0.012452
RIAL,RMDVL,0.030700
RIAL,RMDVR,0.013510
RIAL,SMBDL,-0.006615
RIAL,SMBDR,0.003045
RIAL,SMBVL,0.009098
RIAL,SMBVR,0.056927
RIAL,SMDDL,-0.020248
RIAL,SMDDR,-0.017138
RIAL,SMDVL,0.054220
RIAL,SMDVR,0.038047
RIAL,URXL,0.001822
RIAR,AVAR,0.017317
RIAR,CEPDL,-0.002778
RIAR,CEPDR,0.062176
RIAR,CEPVL,0.005940
RIAR,CEPVR,0.010042
RIAR,RIAL,0.041200
RIAR,RIVL,0.031772
RIAR,RIVR,-0.003154
RIAR,RMDDL,-0.004865
RIAR,RMDDR,0.003824
RIAR,RMDL,0.010548
RIAR,RMDR,0.028500
RIAR,RMDVL,0.008431
RIAR,RMDVR,0.021006
RIAR,RMFR,-0.002130
RIAR,SAADR,-0.000445
RIAR,SAAVL,0.033520
RIAR,SMBDL,0.019150
RIAR,SMBVL,-0.023090
RIAR,SMDDL,-0.009667
RIAR,SMDDR,-0.011018
RIAR,SMDVL,0.015069
RIAR,SMDVR,0.025347
RIBL,AIYL,0.000599
RIBL,AIZL,-0.000785
RIBL,AUAL,0.002572
RIBL,AUAR,-0.003064
RIBL,AVAL,-0.010388
RIBL,AVAR,0.003373
RIBL,AVBL,0.030474
RIBL,AVBR,-0.006534
RIBL,AVDR,0.002326
RIBL,AVEL,0.002525
RIBL,AVER,-0.016218
RIBL,BAGL,-0.012865
RIBL,BAGR,0.027994
RIBL,CEPDL,0.009585
RIBL,CEPVL,0.003620
RIBL,OLLL,-0.009319
RIBL,OLQDL,-0.014085
RIBL,OLQVL,-0.002065
RIBL,RIAL,-0.066009
RIBL,RIBR,-0.000042
RIBL,RIGL,0.002957
RIBL,RIH,-0.005448
RIBL,RIML,0.000085
RIBL,RIS,0.000898
RIBL,RIVL,0.106189
RIBL,RMDR,-0.020647
RIBL,SMBDL,-0.004171
RIBL,SMDDL,0.025226
RIBL,SMDDR,-0.010556
RIBL,SMDVL,0.052288
RIBL,SMDVR,-0.042292
RIBL,URYDL,0.003616
RIBL,URYVL,0.021546
RIBR,AIZR,-0.001445
RIBR,AUAR,0.004905
RIBR,AVAR,0.000287
RIBR,AVBL,0.049630
RIBR,AVBR,-0.005827
RIBR,AVDL,0.011887
RIBR,AVEL,0.008823
RIBR,AVER,0.018624
RIBR,BAGL,0.038961
RIBR,BAGR,0.036380
RIBR,OLLR,0.053043
RIBR,OLQDR,0.024810
RIBR,OLQVR,-0.008245
RIBR,RIAR,0.018440
RIBR,RIBL,0.002914
RIBR,RIGR,-0.011636
RIBR,RIH,0.001722
RIBR,RIMR,0.068703
RIBR,RIS,-0.001505
RIBR,RMDL,0.022548
RIBR,RMFR,0.002285
RIBR,SMBDR,-0.003622
RIBR,SMDDL,-0.026647
RIBR,SMDDR,0.046866
RIBR,SMDVL,0.011361
RIBR,URYDR,0.074989
RIBR,URYVR,-0.006790
RICL,ADAL,-0.019653
RICL,ADAR,0.031427
RICL,ASHL,0.011950
RICL,AVAL,0.001339
RICL,AVAR,0.007389
RICL,AVBR,0.004896
RICL,AVDL,0.005282
RICL,AVEL,0.010863
RICL,AVKL,-0.019796
RICL,AVKR,0.011210
RICL,AWBR,0.021568
RICL,CEPDL,-0.032075
RICL,CEPDR,0.042086
RICL,CEPVL,0.051977
RICL,CEPVR,0.016933
RICL,RICR,0.000348
RICL,RIML,-0.012762
RICL,RIMR,-0.002053
RICL,RIVL,-0.029005
RICL,RIVR,0.007762
RICL,RMFR,-0.007447
RICL,SAADL,0.042055
RICL,SMBDL,0.006423
RICL,SMBDR,0.045791
RICL,SMDDL,0.005460
RICL,SMDDR,0.034697
RICL,SMDVL,-0.000173
RICL,SMDVR,-0.004147
RICL,URBL,0.034079
RICL,URXL,-0.005095
RICL,URXR,0.005079
RICR,ADAL,-0.019612
RICR,ADAR,0.001421
RICR,ASHR,-0.001614
RICR,AVAL,-0.008359
RICR,AVAR,-0.009670
RICR,AVBL,-0.004179
RICR,AVKL,-0.011352
RICR,AVKR,-0.000921
RICR,CEPDL,0.023818
RICR,CEPVL,-0.008784
RICR,CEPVR,-0.014238
RICR,RICL,-0.011789
RICR,RIML,-0.001325
RICR,RIMR,0.001239
RICR,RIS,-0.005468
RICR,RIVL,-0.009486
RICR,RIVR,0.001850
RICR,RMGL,0.001039
RICR,SAADR,-0.001907
RICR,SMBDR,0.004585
RICR,SMDDL,0.008804
RICR,SMDDR,-0.003553
RICR,SMDVL,-0.007920
RICR,SMDVR,0.001493
RICR,URBL,0.026605
RID,AIZR,0.001461
RID,ALA,0.113521
RID,AVBL,-0.127223
RID,AVBR,0.026136
RID,DB1,0.004698
RID,DD1,0.021798
RID,RICR,0.044616
RIGL,AIZL,0.012639
RIGL,AIZR,-0.004483
RIGL,AQR,0.000805
RIGL,ASHL,0.007990
RIGL,AVBR,-0.000571
RIGL,AVEL,-0.001697
RIGL,AVER,0.001994
RIGL,AVKL,0.006378
RIGL,AVKR,-0.016659
RIGL,BAGR,-0.015504
RIGL,OLLL,-0.004827
RIGL,OLQDL,0.009094
RIGL,OLQVL,-0.003255
RIGL,RIAL,-0.004706
RIGL,RIBL,-0.002689
RIGL,RIGR,-0.005380
RIGL,RIML,-0.000948
RIGL,RIVR,0.002810
RIGL,RMEL,0.001527
RIGL,RMFR,0.001838
RIGL,RMGL,0.001084
RIGL,SAADL,-0.002376
RIGL,URXL,0.001139
RIGL,URYDL,-0.003830
RIGL,URYVL,-0.003169
RIGL,VB2,0.003280
RIGR,AIZL,-0.001782
RIGR,AIZR,0.002661
RIGR,AQR,-0.008495
RIGR,AVEL,0.001991
RIGR,AVER,-0.002143
RIGR,AVKL,0.009244
RIGR,AVKR,0.083543
RIGR,BAGL,0.002938
RIGR,BAGR,0.059746
RIGR,OLLR,-0.008479
RIGR,OLQDR,0.017683
RIGR,OLQVR,0.001451
RIGR,RIBR,-0.010311
RIGR,RIGL,0.033464
RIGR,RMFR,-0.007026
RIGR,SAADR,0.000098
RIGR,URYDR,0.055632
RIGR,URYVR,0.007040
RIH,AIYL,0.000065
RIH,AIYR,-0.004863
RIH,AIZL,-0.002725
RIH,AIZR,0.004092
RIH,AUAL,0.003187
RIH,AUAR,-0.004710
RIH,AVEL,0.017934
RIH,AVER,0.003571
RIH,BAGL,0.026937
RIH,BAGR,0.034371
RIH,CEPDL,0.000103
RIH,CEPDR,-0.023785
RIH,CEPVL,0.051448
RIH,CEPVR,0.057018
RIH,FLPL,0.008548
RIH,FLPR,0.002663
RIH,IL1VL,0.035466
RIH,IL1VR,0.008987
RIH,IL2L,0.010923
RIH,IL2VL,0.004679
RIH,IL2VR,0.029356
RIH,OLQDL,0.008207
RIH,OLQDR,-0.001863
RIH,OLQVL,0.010508
RIH,OLQVR,0.051016
RIH,RIAL,0.028935
RIH,RIAR,0.009128
RIH,RIBL,-0.000159
RIH,RIBR,0.001685
RIH,RIGR,-0.011254
RIH,RIPL,0.062552
RIH,RMED,-0.014578
RIH,RMER,0.033073
RIH,RMEV,0.002484
RIH,SMDVL,-0.013827
RIH,URAVL,0.088911
RIH,URAVR,0.103484
RIH,URYVL,0.060434
RIH,URYVR,0.029218
RIML,ADAL,0.015140
RIML,ADER,0.019461
RIML,AIYL,-0.000105
RIML,AIZL,-0.004049
RIML,AVAL,0.018330
RIML,AVAR,0.021215
RIML,AVBL,-0.011348
RIML,AVBR,-0.000615
RIML,AVEL,0.033947
RIML,AVER,0.025047
RIML,AVJR,0.010210
RIML,AVKL,0.003599
RIML,AVKR,-0.051000
RIML,FLPL,0.013126
RIML,OLLR,0.008951
RIML,RIAL,-0.013054
RIML,RIBL,0.004608
RIML,RIBR,-0.004343
RIML,RIGL,0.015315
RIML,RIMR,0.028092
RIML,RIS,-0.000683
RIML,RMDL,0.080585
RIML,RMDR,0.046741
RIML,RMFR,-0.003773
RIML,SAADL,0.064789
RIML,SAADR,0.012267
RIML,SAAVL,-0.007219
RIML,SAAVR,-0.012436
RIML,SMDDL,0.007780
RIML,SMDDR,0.016959
RIML,SMDVL,-0.065284
RIML,SMDVR,0.008836
RIML,URXL,-0.004925
RIMR,ADAR,0.007371
RIMR,AIYR,-0.007693
RIMR,AUAR,-0.008913
RIMR,AVAL,0.005104
RIMR,AVAR,-0.010463
RIMR,AVBL,-0.007935
RIMR,AVBR,0.006698
RIMR,AVEL,-0.003120
RIMR,AVER,-0.048651
RIMR,AVJL,0.005078
RIMR,AVKL,0.011572
RIMR,BAGL,-0.043616
RIMR,RIAL,-0.006140
RIMR,RIBL,0.001832
RIMR,RIBR,0.049153
RIMR,RIGR,0.003602
RIMR,RIML,0.003263
RIMR,RIS,0.003215
RIMR,RMDL,0.000578
RIMR,RMDR,-0.009657
RIMR,RMFR,-0.003027
RIMR,SAADL,-0.004580
RIMR,SAADR,0.007579
RIMR,SAAVL,0.006619
RIMR,SAAVR,0.025969
RIMR,SMDDL,-0.011965
RIMR,SMDDR,-0.028363
RIMR,SMDVL,0.014627
RIMR,SMDVR,0.008464
RIPL,I1R,0.064844
RIPL,OLQDL,0.050997
RIPL,OLQDR,0.081311
RIPL,OLQVL,-0.000315
RIPL,RMED,0.047143
RIS,AVEL,0.007822
RIS,AVER,-0.028294
RIS,AVJL,0.003303
RIS,AVJR,0.001319
RIS,AVKL,0.003055
RIS,AVKR,0.035709
RIS,CEPDL,-0.013154
RIS,CEPDR,0.029425
RIS,CEPVL,0.011748
RIS,CEPVR,0.003023
RIS,DB1,0.003070
RIS,OLLL,0.001955
RIS,OLLR,0.027317
RIS,OLQDR,-0.000497
RIS,RIBL,0.000990
RIS,RIBR,-0.003642
RIS,RICL,-0.088283
RIS,RICR,-0.057639
RIS,RIML,-0.005824
RIS,RIMR,-0.024639
RIS,RMDDL,0.001444
RIS,RMDDR,0.006721
RIS,RMDL,0.008865
RIS,RMDR,-0.051719
RIS,RMEV,-0.002488
RIS,RMFR,-0.002054
RIS,SMDDL,-0.007905
RIS,SMDDR,0.004803
RIS,SMDVL,-0.005207
RIS,SMDVR,0.009410
RIS,URYDL,0.004891
RIS,URYDR,0.023190
RIS,URYVL,0.006826
RIS,URYVR,-0.005892
RIVL,ADEL,-0.006113
RIVL,AVEL,-0.001603
RIVL,RIAL,0.029311
RIVL,RIAR,0.027068
RIVL,RIBL,0.071249
RIVL,RIVR,0.061107
RIVL,RMDDR,-0.000811
RIVL,RMDL,-0.008605
RIVL,RMDVL,-0.014103
RIVL,RMFR,0.000924
RIVL,SAADR,-0.000558
RIVL,SMDDR,-0.009870
RIVL,SMDVL,-0.014024
RIVR,AVEL,0.000543
RIVR,AVER,0.009089
RIVR,RIAL,-0.003879
RIVR,RIAR,0.010353
RIVR,RICR,0.017768
RIVR,RIVL,0.082253
RIVR,RMDDL,0.005530
RIVR,RMDR,0.004837
RIVR,RMDVR,0.005647
RIVR,RMEV,0.003490
RIVR,RMGL,0.000567
RIVR,SAADL,-0.007344
RIVR,SMBVL,0.013981
RIVR,SMDDL,-0.000998
RIVR,SMDVL,-0.011529
RIVR,SMDVR,0.032798
RMDDL,AVER,0.009437
RMDDL,IL1DR,0.000396
RMDDL,OLQVL,-0.002878
RMDDL,RIAR,0.056631
RMDDL,RMDDR,0.048154
RMDDL,RMDL,0.005692
RMDDL,RMDVL,0.023040
RMDDL,RMDVR,0.029899
RMDDL,RMEV,0.012700
RMDDL,SAADL,0.021005
RMDDL,SMBDL,0.048768
RMDDL,SMDDL,0.021647
RMDDL,URADR,-0.016265
RMDDL,URYDR,0.016274
RMDDR,AVEL,-0.013304
RMDDR,IL1DL,0.001519
RMDDR,OLQDL,0.003718
RMDDR,OLQVR,-0.010692
RMDDR,RIS,0.005606
RMDDR,RMDDL,0.050167
RMDDR,RMDL,0.011987
RMDDR,RMDR,0.011906
RMDDR,RMDVL,0.007557
RMDDR,RMDVR,0.005167
RMDDR,RMED,0.003644
RMDDR,RMEV,0.006623
RMDDR,SAADR,0.071827
RMDDR,SMBDR,-0.026647
RMDDR,SMDDR,0.029216
RMDDR,URYDL,0.002062
RMDL,ADER,-0.011381
RMDL,AVEL,0.019476
RMDL,OLLR,-0.031256
RMDL,RIAL,0.007414
RMDL,RIAR,0.004049
RMDL,RIBR,0.010283
RMDL,RIML,0.038878
RMDL,RIVL,-0.011052
RMDL,RMDDL,0.004218
RMDL,RMDDR,0.006604
RMDL,RMDR,0.000372
RMDL,RMDVL,0.037236
RMDL,RMDVR,0.004725
RMDL,RMEL,-0.004357
RMDL,RMER,-0.005897
RMDL,SMBVR,0.019918
RMDL,SMDDL,-0.001170
RMDL,SMDVL,0.030871
RMDR,AVKL,0.005737
RMDR,CEPVL,0.007277
RMDR,IL2L,-0.005864
RMDR,OLLL,0.014034
RMDR,RIAL,0.010948
RMDR,RIAR,0.034586
RMDR,RIBL,0.002174
RMDR,RIMR,-0.006661
RMDR,RIS,-0.003273
RMDR,RMDDL,0.003777
RMDR,RMDDR,0.000241
RMDR,RMDL,0.001034
RMDR,RMDVL,0.013078
RMDR,RMDVR,-0.003724
RMDR,RMER,0.007473
RMDR,RMFR,0.002919
RMDR,RMGL,-0.003591
RMDR,SMDDR,-0.015383
RMDR,SMDVR,0.007547
RMDVL,AVEL,0.015334
RMDVL,AVER,0.005306
RMDVL,IL1VR,0.001548
RMDVL,OLQDL,0.001554
RMDVL,OLQVR,0.007160
RMDVL,RMDDL,0.005008
RMDVL,RMDDR,0.001890
RMDVL,RMDL,0.035186
RMDVL,RMDVR,0.009029
RMDVL,RMED,0.005847
RMDVL,SAAVL,0.022631
RMDVL,SMBVR,-0.001192
RMDVL,SMDVL,0.018336
RMDVR,AVAR,0.034085
RMDVR,AVEL,0.003245
RMDVR,AVER,0.016905
RMDVR,CEPDR,-0.005442
RMDVR,OLQDR,0.000165
RMDVR,OLQVL,-0.000947
RMDVR,RIVR,-0.003554
RMDVR,RMDDL,0.024556
RMDVR,RMDDR,-0.004593
RMDVR,RMDR,0.021409
RMDVR,RMDVL,0.006316
RMDVR,RMED,-0.003351
RMDVR,SAAVR,0.012401
RMDVR,SMBVL,-0.039385
RMDVR,SMDVR,0.019112
RMED,AVEL,0.004175
RMED,IL1VL,0.023220
RMED,IL1VR,-0.001857
RMED,RIBL,0.001205
RMED,RIBR,-0.000278
RMED,RIPL,0.044545
RMED,RMDVL,0.007366
RMED,RMDVR,0.001009
RMED,RMEL,0.031309
RMED,RMER,0.073779
RMED,RMEV,-0.034072
RMED,SMDDL,0.004154
RMED,SMDDR,-0.002736
RMEL,AVEL,-0.012583
RMEL,IL2VL,-0.000007
RMEL,RIGL,-0.007537
RMEL,RMDL,-0.011071
RMEL,RMED,0.014602
RMEL,RMEV,0.044107
RMER,AVEL,-0.013959
RMER,RMDDR,0.009708
RMER,RMDR,-0.009710
RMER,RMED,0.044099
RMER,RMEV,0.051416
RMEV,AVEL,0.006886
RMEV,AVER,-0.004031
RMEV,IL1DL,-0.002244
RMEV,IL1DR,0.014005
RMEV,RMDDR,0.007025
RMEV,RMED,-0.017949
RMEV,RMEL,0.045488
RMEV,RMER,0.046212
RMEV,SMDDR,-0.003588
RMEV,SMDVL,0.002191
RMEV,SMDVR,0.002214
RMFR,AVEL,-0.000919
RMFR,AVKL,0.004232
RMFR,AVKR,0.056206
RMFR,AWBR,-0.000406
RMFR,BAGR,-0.014025
RMFR,CEPDL,-0.002554
RMFR,RIBL,0.000565
RMFR,RIGL,0.012470
RMFR,RIML,-0.020077
RMFR,RIS,-0.000569
RMFR,RIVR,0.004676
RMFR,RMDL,0.013600
RMFR,RMDR,0.059513
RMFR,RMDVL,-0.026593
RMFR,RMGL,0.001043
RMFR,SAADL,0.145044
RMGL,ADAL,0.012067
RMGL,ADLL,-0.000230
RMGL,AIML,0.002161
RMGL,ASHL,-0.004109
RMGL,ASKL,-0.003391
RMGL,AVAL,0.001342
RMGL,AVBL,0.006446
RMGL,AVBR,0.001112
RMGL,AVEL,-0.005563
RMGL,AVJR,-0.002061
RMGL,AWBL,-0.002263
RMGL,CEPDL,-0.011408
RMGL,IL2L,-0.001140
RMGL,OLQVL,0.001190
RMGL,RIAR,0.043480
RMGL,RICR,0.051762
RMGL,RID,-0.001310
RMGL,RMDDL,0.012295
RMGL,RMDDR,-0.042835
RMGL,RMDL,-0.006675
RMGL,RMDR,-0.076211
RMGL,RMDVL,0.006361
RMGL,RMDVR,-0.013525
RMGL,RMFR,-0.000493
RMGL,SAADR,0.015696
RMGL,SAAVL,-0.013206
RMGL,SAAVR,-0.037764
RMGL,SMBDL,0.000549
RMGL,SMBVL,-0.018721
RMGL,URXL,-0.002608
SAADL,AVAL,-0.011850
SAADL,OLLR,0.023623
SAADL,RIML,0.047290
SAADL,RIMR,-0.008327
SAADL,RIVR,-0.012016
SAADL,RMDDL,0.059813
SAADL,RMFR,0.032882
SAADL,SMBDL,-0.008975
SAADL,SMDVR,-0.006046
SAADR,AVAL,-0.001556
SAADR,AVAR,-0.014002
SAADR,AVEL,0.005721
SAADR,IL2L,-0.002326
SAADR,OLLL,0.011497
SAADR,RIML,0.018472
SAADR,RIMR,0.010826
SAADR,RMDDR,0.107823
SAADR,RMGL,0.003818
SAADR,SAAVL,0.005836
SAADR,SMBDR,0.013928
SAADR,SMDVL,-0.016011
SAAVL,AVAL,0.027633
SAAVL,AVEL,0.010508
SAAVL,OLLR,0.004166
SAAVL,RIAR,0.066829
SAAVL,RIML,-0.010824
SAAVL,RIMR,-0.001388
SAAVL,RMDVL,0.030142
SAAVL,RMFR,-0.000334
SAAVL,SAADR,0.007334
SAAVL,SMBVR,-0.002231
SAAVL,SMDDR,0.000826
SAAVR,AVAR,0.032529
SAAVR,OLLL,-0.013368
SAAVR,RIML,-0.015462
SAAVR,RIMR,0.015092
SAAVR,RMDVR,0.004373
SAAVR,SMBVL,-0.059997
SAAVR,SMDDL,0.014057
SABD,AVAL,0.006913
SABVR,AVAL,-0.057281
SABVR,AVAR,0.077204
SABVR,DA1,0.090701
SMBDL,ADAL,0.016884
SMBDL,AVAR,-0.006263
SMBDL,AVKL,0.014587
SMBDL,AVKR,-0.011584
SMBDL,RIBL,-0.004999
SMBDL,RMDDL,0.074585
SMBDL,RMED,0.001142
SMBDL,SAADL,0.063060
SMBDL,SAAVL,-0.013408
SMBDL,SAAVR,0.075183
SMBDL,SMBVL,0.095524
SMBDR,ADAL,0.024517
SMBDR,AVAL,-0.011589
SMBDR,AVAR,-0.002759
SMBDR,AVKL,0.065812
SMBDR,AVKR,0.172493
SMBDR,RIBR,-0.001532
SMBDR,RMDDR,0.002401
SMBDR,RMED,0.002375
SMBDR,SAADR,0.006233
SMBDR,SAAVL,0.003810
SMBDR,SAAVR,-0.011262
SMBVL,AVKL,-0.012168
SMBVL,RMDVR,-0.044726
SMBVL,RMEV,0.000294
SMBVL,SAADL,-0.057587
SMBVL,SAAVR,-0.084379
SMBVL,SMBDL,0.039382
SMBVR,AVKL,-0.032692
SMBVR,AVKR,-0.025873
SMBVR,CEPVR,0.001165
SMBVR,RMDVL,-0.003789
SMBVR,RMEV,0.010051
SMBVR,SAADR,-0.006236
SMBVR,SAAVL,0.009518
SMDDL,CEPDR,0.024270
SMDDL,RIAL,-0.017510
SMDDL,RIAR,-0.012202
SMDDL,RIBL,0.036641
SMDDL,RIBR,-0.032003
SMDDL,RIML,0.007607
SMDDL,RIS,-0.002287
SMDDL,RMDDL,0.022829
SMDDL,RMDL,0.000394
SMDDL,RMDR,0.007349
SMDDL,SAAVR,0.036886
SMDDL,SMDDR,0.063664
SMDDL,SMDVR,0.056912
SMDDR,CEPDL,0.007039
SMDDR,RIAL,-0.047388
SMDDR,RIAR,-0.057203
SMDDR,RIBL,-0.010919
SMDDR,RIBR,0.033919
SMDDR,RICL,0.094368
SMDDR,RIMR,-0.019896
SMDDR,RIS,0.001222
SMDDR,RMDDR,0.027088
SMDDR,RMDL,-0.003479
SMDDR,RMDR,-0.010293
SMDDR,SAAVL,0.009514
SMDDR,SMDDL,0.049086
SMDDR,SMDVL,0.037557
SMDDR,URYDL,-0.015718
SMDVL,AVKL,0.007840
SMDVL,AVKR,0.009003
SMDVL,RIAL,0.160213
SMDVL,RIAR,0.001039
SMDVL,RIBL,0.022596
SMDVL,RIBR,0.015762
SMDVL,RIS,-0.002864
SMDVL,RIVL,0.016179
SMDVL,RMDDR,0.000587
SMDVL,RMDL,0.016286
SMDVL,RMDVL,0.015585
SMDVL,RMED,0.004279
SMDVL,SAADR,-0.006147
SMDVL,SMDDL,0.010604
SMDVL,SMDDR,0.017911
SMDVL,SMDVR,0.024581
SMDVR,CEPVL,-0.032656
SMDVR,OLLL,-0.003358
SMDVR,RIAL,0.049722
SMDVR,RIAR,0.067588
SMDVR,RIBL,-0.058350
SMDVR,RIMR,0.010129
SMDVR,RIS,0.001987
SMDVR,RIVR,0.035206
SMDVR,RMDDL,0.004498
SMDVR,RMDVR,0.016479
SMDVR,SMDDL,0.052422
SMDVR,SMDVL,0.056105
SMDVR,VB1,0.028770
URADL,IL1DL,0.027899
URADL,RIPL,-0.004714
URADL,RMDDR,-0.006970
URADL,RMDVL,-0.008732
URADL,RMED,0.000418
URADL,RMEL,-0.000139
URADL,RMER,0.006539
URADR,IL1DR,0.000734
URADR,RMDDL,-0.031567
URADR,RMDVR,-0.008089
URADR,RMED,0.002036
URADR,RMER,-0.035276
URADR,URYDR,0.121029
URAVL,IL1VL,-0.016407
URAVL,IL2L,-0.026393
URAVL,RIPL,-0.036750
URAVL,RMEL,0.011852
URAVL,RMER,-0.006999
URAVL,RMEV,-0.019078
URAVR,IL1VR,0.010760
URAVR,RMDVL,0.008094
URAVR,RMEL,0.003599
URAVR,RMER,-0.002364
URAVR,RMEV,0.000522
URBL,ADAL,-0.008370
URBL,ADEL,-0.001964
URBL,AVBL,0.008688
URBL,AVDL,0.000581
URBL,AVDR,-0.005148
URBL,AVEL,0.001648
URBL,CEPDL,-0.014430
URBL,CEPVL,0.031633
URBL,OLLL,0.027055
URBL,OLQDL,-0.001041
URBL,OLQVL,0.001090
URBL,RIBL,0.000867
URBL,RICL,-0.002109
URBL,RICR,0.000531
URBL,RIVL,0.003524
URBL,RMDDL,0.004129
URBL,RMDDR,0.003123
URBL,RMDR,0.001060
URBL,RMEL,0.016279
URBL,RMGL,0.000556
URBL,SMBDR,-0.006023
URBL,SMBVL,0.004504
URBL,SMDDR,0.001260
URBL,SMDVL,-0.001159
URBL,URXL,0.000182
URBR,ADAR,0.009380
URBR,AVBL,-0.002097
URBR,AVBR,-0.001466
URBR,AVDL,-0.014687
URBR,AVJL,-0.001889
URBR,CEPDR,0.007195
URBR,CEPVR,0.091799
URBR,OLLR,0.049094
URBR,OLQDR,0.021294
URBR,OLQVR,0.087494
URBR,RICL,0.016056
URBR,RICR,0.004888
URBR,RMDL,0.004812
URBR,RMDR,0.045022
URBR,SMBDL,0.004369
URBR,URXR,0.016254
URXL,ADAL,-0.001012
URXL,AQR,0.006988
URXL,ASHL,-0.002510
URXL,AUAL,0.012434
URXL,AVAL,-0.001170
URXL,AVBL,0.010664
URXL,AVBR,-0.002657
URXL,AVEL,0.003102
URXL,AVHR,-0.000045
URXL,AVJR,0.008131
URXL,CEPVL,0.003607
URXL,IL2L,0.007356
URXL,RIAL,0.032498
URXL,RICL,-0.038131
URXL,RICR,0.037173
URXL,RIGL,0.001413
URXL,RIML,-0.006146
URXL,RMGL,-0.005451
URXL,SMBDR,-0.016318
URXL,URBL,-0.234381
URXR,ADAR,0.013035
URXR,AQR,-0.002596
URXR,AUAR,0.002408
URXR,AVBL,0.004954
URXR,AVBR,-0.004363
URXR,AVER,-0.008934
URXR,AVJL,0.002119
URXR,OLQVR,-0.007586
URXR,RIAR,0.062621
URXR,RICL,0.027375
URXR,RICR,-0.019994
URXR,RIGR,-0.003440
URXR,RMDR,0.007468
URXR,RMFR,-0.000862
URXR,SMBDL,-0.000952
URXR,URBR,0.005957
URYDL,AVAL,0.002207
URYDL,AVBL,0.011617
URYDL,AVBR,-0.008211
URYDL,AVDL,-0.002379
URYDL,AVDR,-0.014057
URYDL,AVEL,-0.001700
URYDL,AVER,0.012149
URYDL,CEPDL,-0.009582
URYDL,IL1DL,0.075799
URYDL,OLQDL,0.053915
URYDL,RIBL,0.008448
URYDL,RID,0.004022
URYDL,RIGL,-0.023163
